No,continent,short,country,food,foodexplain,photourl,nonwikiurl,etc
45,"Northern Europe",SE,Sweden,Kottbullar,"A butter tart is a type of small pastry tart highly regarded in Canadian cuisine and considered one of Canada's quintessential treats. The sweet tart consists of a filling of butter, sugar, syrup, and egg, baked in a pastry shell until the filling is semi-solid with a crunchy top. The butter tart should not be confused with butter pie (a savoury pie from the Preston area of Lancashire, England) or with bread and butter pudding. Recipes for the butter tart vary according to the families baking them. Because of this, the appearance and physical characteristics of the butter tart the firmness of its pastry. Traditionally, the English Canadian tart consists of butter, sugar, and eggs in a pastry shell, similar to the French-Canadian sugar pie, or the base of the U.S. pecan pie without the nut topping. The butter tart is different from the sugar pie given the lack of flour in the filling. The butter tart is different from pecan pie in that it has a "runnier" filling due to the omission of corn starch. Often raisins, walnuts or pecans are added to the traditional butter tart, although the acceptability of such additions is a matter of national debateAs an iconic Canadian food and one of the most popular desserts in the country, the raisin-or-no-raisin question can provoke polarizing debate. More exotic flavours are also produced by some bakers. Examples such as maple, bacon, pumpkin, chili and salted caramel cardamom flavours have been made for competitions.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/17-06-09-IKEA-K%C3%B6ttbullar-RalfR-IMG_20170609_182055_928a.jpg/180px-17-06-09-IKEA-K%C3%B6ttbullar-RalfR-IMG_20170609_182055_928a.jpg,,"IN: {}, //India"
46,"Northern Europe",SE,Sweden,"Gravad laks","Gravlax or grav(ad)laks is a Nordic dish consisting of salmon that is cured using salt, sugar, and dill. Gravlax is usually served as an appetizer, sliced thinly and accompanied (literally "maitre d'hôtel sauce", also known in Sweden, a dill and mustard sauce, either on bread or with boiled potatoes.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Laxr%C3%A4tter.jpg/375px-Laxr%C3%A4tter.jpg,,"SG: {}, //Singapore"
47,"Northern Europe",NO,Norway,Brunost,"Brunost ("brown cheese") is a common, Norwegian name for mysost ("whey cheese"; Danish: myseost; Swedish: mesost; Finnish: mesjuusto; Icelandic: mysuostur), a family of cheese-related foods made with whey, milk, and/or cream. The term is often used to just refer to the Gudbrandsdalsost ("Gudbrandsdal Cheese") type, which is the most popular variety. Brunost is primarily produced and consumed in Norway. It is regarded as one of the country's most iconic foodstuffs, and is considered an important part of Norwegian gastronomical and cultural identity and heritage.

Mysost are a family of cheese-related foods made with whey and milk and/or cream. The main ingredient, whey, is a byproduct of the cheese making process, it is what is left when the cheese is removed from the milk. Therefore, brunost is not technically cheese, and it does not taste like cheese. However, it is produced by cheese makers, and is sold, handled and consumed in the same way as cheese. Therefore it is generally regarded as a cheese. The texture is firm, but slightly softer than Gouda cheese, for example, and lends itself well to cutting and shaping. It does not crumble like hard cheeses. The taste is sweet, and best described as caramel-like, but with a tang that is more noticeable in the variants that contain goat's milk. The variant Ekte Geitost ("true goat's cheese") contains only whey and goat's milk, and has an intense, Chèvre-like taste that cuts the sweetness.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Brunost.jpg/375px-Brunost.jpg,,"EG: {}, //Egypt"
48,"Northern Europe",NO,Norway,Gammelost,"Gamalost (also Gammelost, Gammalost) is a traditional Norwegian cheese
To make Gamalost, lactic starter is added to skimmed cow's milk, causing it to sour. After several days of souring, the milk is slowly heated, before the curds are separated and pressed into forms. After removal from the forms, mold is introduced onto the surface of the cheese, either by exposure to the wooden walls of the form that is only used for Gammalost, or rubbed on by hand in the traditional method. The cheese is then allowed to cure for four to five weeks.The ripening happens from outside inwards, so the center might be lighter than the parts near the exterior.
Gamalost production is very labor-intensive, particularly if traditional methods are used. Everything depends on the proper fermentation and maturation. It is not made in sufficient quantity for mass export. As such, it is rare to find the cheese outside Norway. Commercial production has principally been limited to the Tine facility in Vik.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Gamalost-NorwegianOldCheese.jpg/360px-Gamalost-NorwegianOldCheese.jpg,,"ET: {}, //Ethiopia"
49,"Northern Europe",NO,Norway,Lefse,"Lefse  is a traditional soft Norwegian flatbread. It is made with potatoes (often, but not always), flour, butter, and milk or cream.It is cooked on a large, flat griddle. Special tools are used to prepare lefse, including long wooden turning sticks and special rolling pins with deep grooves. There are many ways of flavoring lefse. The most common is adding butter to the lefse and rolling it up. In Norway, this is known as "lefse-klenning". Other options include adding cinnamon and/or sugar, or spreading jelly, lingonberries or gomme on it. Scandinavian-American variations include rolling it with a thin layer of peanut butter and sugar, with butter and white or brown sugar, with butter and corn syrup, or with butter and salt, or with ham and eggs. Also eaten with beef and other savory items like Ribberull and mustard, it is comparable to a tortilla. Lefse is a traditional accompaniment to lutefisk, and the fish is often rolled up in the lefse.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Lefse_on_a_griddle.jpg/330px-Lefse_on_a_griddle.jpg,,"KE: {}, //Kenya"
50,"Northern Europe",NO,Norway,Krumkake(krumkaker),"Krumkake  is a Norwegian waffle cookie made of flour, butter, eggs, sugar, and cream. Descendent from the Italian pizzelle, a special decorative two-sided iron griddle, or the Sicilian cannolo, or similar to a waffle iron, is traditionally used to bake the thin round cakes. Older irons are used over the stove, but modern electric irons offer the convenience of nonstick surfaces, automatic timing, and multiple cakes per batch. While hot, the 13??0 cm krumkaker are rolled into small cones around a wooden or plastic cone form. Krumkake can be eaten plain or filled with whipped cream (often multekrem) or other fillings. These cookies are popular not only in Norway but also among Norwegian immigrant descendants in New England and the American Midwest. Krumkaker are traditionally made in preparation for Christmas, along with other "Swedish Sweets" including Sandbakelse and Rosettes. They offer a sweet dessert after the traditional Christmas Eve dinner. In Germany, the cookies are commonly filled with sweet stuffings. They are also used as a type of ice cream cone.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/1krumkake.jpg/330px-1krumkake.jpg,,
51,"Northern Europe",NO,Norway,Farikal,"Farikal is a traditional Norwegian dish and also considered the national dish of the country. Consisting of pieces of mutton with bone, cabbage, whole black pepper and often a little wheat flour, cooked for several hours in a casserole, traditionally served with potatoes boiled in their skins. The dish is typically prepared in early autumn. Farikal Feast Day is celebrated on the last Thursday in September each year. Farikal is a compounded word that literally means "mutton in cabbage". The name was amended from Danish "gaas i hvidkaal" (goose in white cabbage).",https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/F%C3%A5r_i_k%C3%A5l.jpg/390px-F%C3%A5r_i_k%C3%A5l.jpg,,"CG:{},//'Congo'"
52,"Northern Europe",IS,Iceland,Kjotsupa,"Kjotsupa is a nutritious soup made of lamb and vegetables . The soup is most commonly used in potatoes , carrots , carrots and cabbage, but other vegetable species are also used, such as onions and leeks , and it is flavored with dried soup herbs and sometimes meats.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Meat_soup.JPG/220px-Meat_soup.JPG,,"DZ:{},//'Algeria'"
53,"Northern Europe",IS,Iceland,Svio,"Svio is traditional Icelandic food that actually is also known in many other countries, heads of lambs or adult sheep wool has been scorched by the fire and then scrape off - now this is, however, often done by Kalu scorched bleach mixture, but many seem they taste less and worse.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Svi%C3%B0akjammi.JPG/220px-Svi%C3%B0akjammi.JPG,,"NG:{},//'Nigeria'"
54,"Northern Europe",IS,Iceland,Plokkfiskur,"Plokkfiskur is a traditional Icelandic dish made from fish, potatoes, onion and bechamel sauce.  The result is thick and creamy comfort food that popular with locals and tourists alike.",https://adamantkitchen.com/wp-content/uploads/2019/11/Icelandic-Plokkfiskur-4.jpg,https://adamantkitchen.com/plokkfiskur/,"SD:{},//'Sudan'"
55,"Northern Europe",IS,Iceland,Hakarl,"Hakarl  is a national dish of Iceland consisting of a Greenland shark or other sleeper shark which has been cured with a particular fermentation process and hung to dry for four to five months.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Hakarl_near_Bjarnah%C3%B6fn_in_Iceland.JPG/250px-Hakarl_near_Bjarnah%C3%B6fn_in_Iceland.JPG,,"AO:{},//'Angola'"
56,"Western Europe",FR,France,Croissants,"A croissant  is a buttery, flaky, viennoiserie pastry of Austrian origin, named for its historical crescent shape. Croissants and other viennoiserie are made of a layered yeast-leavened dough. The dough is layered with butter, rolled and folded several times in succession, then rolled into a sheet, in a technique called laminating. The process results in a layered, flaky texture, similar to a puff pastry. Crescent-shaped breads have been made since the Renaissance, and crescent-shaped cakes possibly since antiquity. Croissants have long been a staple of Austrian and French bakeries and pâtisseries. In the late 1970s, the development of factory-made, frozen, pre-formed but unbaked dough made them into a fast food which can be freshly baked by unskilled labor. The croissant bakery, notably the La Croissanterie chain, was explicitly a French response to American-style fast food, and as of 2008 of the croissants sold in French bakeries and patisseries were baked from frozen dough. Croissants are a common part of a continental breakfast in many European countries.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/2018_01_Croissant_IMG_0685.JPG/375px-2018_01_Croissant_IMG_0685.JPG,,"ZM:{},// 'Zambia'"
57,"Western Europe",FR,France,Baguette,"A baguette  is a long, thin loaf of French bread that is commonly made from basic lean dough (the dough, though not the shape, is defined by French law). It is distinguishable by its length and crisp crust. A baguette has a diameter of about 5 or 6 cm and a usual length of about 65 cm (26 in), although a baguette can be up to 1 m (39 in) long.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Baguettes_-_stonesoup.jpg/330px-Baguettes_-_stonesoup.jpg,,"AU: {},//'Australia',"
58,"Western Europe",FR,France,"mousse cake","Cake with mousse. A mousse is a soft prepared food that incorporates air bubbles to give it a light and airy texture. It can range from light and fluffy to creamy and thick, depending on preparation techniques. A mousse may be sweet or savory. Sweet mousses are typically made with whipped egg whites, whipped cream,or both, and flavored with one or more of chocolate, coffee, caramel, puréed fruits, or various herbs and spices, such as mint or vanilla. In the case of some chocolate mousses, egg yolks are often stirred into melted chocolate to give the final product a richer mouthfeel. Mousses are also typically chilled before being served, which gives them a denser texture. Sweetened mousse is served as a dessert, or used as an airy cake filling. It is sometimes stabilized with gelatin. Savory mousses can be made from meat, fish, shellfish, foie gras, cheese, or vegetables. Hot mousses often get their light texture from the addition of beaten egg whites.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Mousse_cake_7.jpg/1280px-Mousse_cake_7.jpg,,"PG: {},//'Papua New Guinea',"
